cancer_loc,sex,race,survival_time,stage,survival_percent
8,1,2,0,3,100
8,1,2,1,1,93.3
8,1,2,1,2,75.8
8,1,2,1,3,64.4
8,1,2,2,1,87.6
8,1,2,2,2,57.9
8,1,2,2,3,44.7
8,1,2,3,1,82.6
8,1,2,3,2,48.8
8,1,2,3,3,38.2
8,1,2,4,1,79.5
8,1,2,4,2,42.9
8,1,2,4,3,32.4
8,1,2,5,1,74.6
8,1,2,5,2,39.5
8,1,2,5,3,30
8,2,1,0,1,100
8,2,1,0,2,100
8,2,1,0,3,100
8,2,1,1,1,92.4
8,2,1,1,2,81.1
8,2,1,1,3,67.6
8,2,1,2,1,84.9
8,2,1,2,2,66.5
8,2,1,2,3,53.3
8,2,1,3,1,80.4
8,2,1,3,2,57.3
8,2,1,3,3,44.4
8,2,1,4,1,77.2
8,2,1,4,2,51.2
8,2,1,4,3,40.3
8,2,1,5,1,72.8
8,2,1,5,2,47.5
8,2,1,5,3,36.3
8,2,2,0,1,100
8,2,2,0,2,100
8,2,2,0,3,100
8,2,2,1,1,91.6
8,2,2,1,2,77.6
8,2,2,1,3,65.6
8,2,2,2,1,81.5
8,2,2,2,2,61.8
8,2,2,2,3,48.6
8,2,2,3,1,76.5
8,2,2,3,2,55
8,2,2,3,3,36.9
8,2,2,4,1,70.3
8,2,2,4,2,51
8,2,2,4,3,32.1
8,2,2,5,1,69.1
8,2,2,5,2,47.2
8,2,2,5,3,30.7
9,1,1,0,1,100
9,1,1,0,2,100
9,1,1,0,3,100
9,1,1,1,1,79.3
9,1,1,1,2,61.4
9,1,1,1,3,23.6
9,1,1,2,1,67.6
9,1,1,2,2,42.6
9,1,1,2,3,10.2
9,1,1,3,1,60.1
9,1,1,3,2,34.1
9,1,1,3,3,6.1
9,1,1,4,1,54.3
9,1,1,4,2,28.7
9,1,1,4,3,4.4
9,1,1,5,1,49.6
9,1,1,5,2,25.3
9,1,1,5,3,3.4
9,1,2,0,1,100
9,1,2,0,2,100
9,1,2,0,3,100
9,1,2,1,1,75.8
9,1,2,1,2,60.9
9,1,2,1,3,24.5
9,1,2,2,1,64.4
9,1,2,2,2,40.5
9,1,2,2,3,9.8
9,1,2,3,1,55.1
9,1,2,3,2,30
9,1,2,3,3,6
9,1,2,4,1,48.1
9,1,2,4,2,24.9
9,1,2,4,3,4.1
9,1,2,5,1,43.3
9,1,2,5,2,21.3
9,1,2,5,3,3.3
9,2,1,0,1,100
9,2,1,0,2,100
9,2,1,0,3,100
9,2,1,1,1,85.7
9,2,1,1,2,66.5
9,2,1,1,3,28.7
9,2,1,2,1,76.3
9,2,1,2,2,49.8
9,2,1,2,3,14.3
9,2,1,3,1,69.8
9,2,1,3,2,40.2
9,2,1,3,3,9.1
9,2,1,4,1,64.8
9,2,1,4,2,35
9,2,1,4,3,6.6
9,2,1,5,1,60.8
9,2,1,5,2,31
9,2,1,5,3,5
9,2,2,0,1,100
9,2,2,0,2,100
9,2,2,0,3,100
9,2,2,1,1,84.7
9,2,2,1,2,68
9,2,2,1,3,30.4
9,2,2,2,1,73.8
9,2,2,2,2,49.7
9,2,2,2,3,14.8
9,2,2,3,1,65.3
9,2,2,3,2,39.1
9,2,2,3,3,9.1
9,2,2,4,1,59.2
9,2,2,4,2,33.5
9,2,2,4,3,6.6
9,2,2,5,1,54.7
9,2,2,5,2,29.9
9,2,2,5,3,5
11,1,1,0,1,100
11,1,1,0,2,100
11,1,1,0,3,100
11,1,1,1,1,95
11,1,1,1,2,83
11,1,1,1,3,47.6
11,1,1,2,1,90.7
11,1,1,2,2,72.9
11,1,1,2,3,32.4
11,1,1,3,1,86.7
11,1,1,3,2,65.6
11,1,1,3,3,23.4
11,1,1,4,1,83.5
11,1,1,4,2,61.9
11,1,1,4,3,20.4
11,1,1,5,1,81.3
11,1,1,5,2,58.3
11,1,1,5,3,17.5
11,1,2,0,1,100
11,1,2,0,2,100
11,1,2,0,3,100
11,1,2,1,1,95
11,1,2,1,2,81.7
11,1,2,1,3,51.9
11,1,2,2,1,88.9
11,1,2,2,2,67.4
11,1,2,2,3,29.7
11,1,2,3,1,84
11,1,2,3,2,56.3
11,1,2,3,3,25
11,1,2,4,1,82.3
11,1,2,4,2,55.1
11,1,2,4,3,21.5
11,1,2,5,1,80.2
11,1,2,5,2,52
11,1,2,5,3,19.3
11,2,1,0,1,100
11,2,1,0,2,100
11,2,1,0,3,100
11,2,1,1,1,94.9
11,2,1,1,2,84
11,2,1,1,3,50.1
11,2,1,2,1,90.8
11,2,1,2,2,76
11,2,1,2,3,31.7
11,2,1,3,1,87.8
11,2,1,3,2,70.1
11,2,1,3,3,25.7
11,2,1,4,1,85.4
11,2,1,4,2,65.7
11,2,1,4,3,20.6
11,2,1,5,1,83.1
11,2,1,5,2,62.9
11,2,1,5,3,17.5
11,2,2,0,1,100
11,2,2,0,2,100
11,2,2,0,3,100
11,2,2,1,1,93.5
11,2,2,1,2,85.1
11,2,2,1,3,44.9
11,2,2,2,1,87
11,2,2,2,2,73.2
11,2,2,2,3,32
11,2,2,3,1,81.7
11,2,2,3,2,62.4
11,2,2,3,3,19.3
11,2,2,4,1,79.2
11,2,2,4,2,59.4
11,2,2,4,3,18.3
11,2,2,5,1,77.4
11,2,2,5,2,57.1
11,2,2,5,3,16
12,1,1,0,1,100
12,1,1,0,2,100
12,1,1,0,3,100
12,1,1,1,1,100
12,1,1,1,2,92.8
12,1,1,1,3,40.7
12,1,1,2,1,99.9
12,1,1,2,2,80
12,1,1,2,3,27.8
12,1,1,3,1,99.1
12,1,1,3,2,70
12,1,1,3,3,21.7
12,1,1,4,1,98.3
12,1,1,4,2,64.8
12,1,1,4,3,18.4
12,1,1,5,1,97.5
12,1,1,5,2,60.1
12,1,1,5,3,16.1
12,1,2,0,1,100
12,1,2,0,2,100
12,1,2,0,3,100
12,1,2,1,1,100
12,1,2,1,2,97.6
12,1,2,1,3,52.3
12,1,2,2,1,97.7
12,1,2,2,2,64.4
12,1,2,2,3,35.8
12,1,2,3,1,96.1
12,1,2,3,2,46.7
12,1,2,3,3,15.5
12,1,2,4,1,96.1
12,1,2,4,2,37.7
12,1,2,4,3,15.5
12,1,2,5,1,96.1
12,1,2,5,2,34.1
12,1,2,5,3,15.5
12,2,1,0,1,100
12,2,1,0,2,100
12,2,1,0,3,100
12,2,1,1,1,100
12,2,1,1,2,94.5
12,2,1,1,3,45.4
12,2,1,2,1,99.9
12,2,1,2,2,83.8
12,2,1,2,3,32.2
12,2,1,3,1,99.5
12,2,1,3,2,75.5
12,2,1,3,3,27
12,2,1,4,1,99.2
12,2,1,4,2,71.7
